--- Log Capture Start: 20260214_164856 ---
02-14 16:44:38.505 D/BleProximity: 解锁成功
02-14 16:44:38.505 D/BleProximity: 📊 指令出队: 解锁车门 -> SUCCESS
02-14 16:44:38.506 D/BleProximity: 🔓 解锁结果: SUCCESS
02-14 16:44:38.506 D/BleProximity: 🔄 同步状态: 车辆已解锁
02-14 16:44:38.510 D/BleProximity: 🔗 链式触发: 120秒打火
02-14 16:44:38.666 D/BleProximity: 📶 RSSI: -58
02-14 16:44:38.666 D/BleProximity: 📊 正在收集信号样本: 1/5
02-14 16:44:38.969 D/BleProximity: 📶 RSSI: -57
02-14 16:44:38.970 D/BleProximity: 📊 正在收集信号样本: 2/5
02-14 16:44:39.020 D/BleProximity: 📤 发送指令: 120秒打火
02-14 16:44:39.071 D/BleProximity: 收到认证挑战：uuid: E6B0E704-BD48-4CA4-8EC4-7C6503C24AF4, value: 042c34fc9185
02-14 16:44:39.072 D/BleProximity: 🔐 处理认证挑战: 303432633334666339313835
02-14 16:44:39.282 D/BleProximity: 📶 RSSI: -58
02-14 16:44:39.283 D/BleProximity: 📊 正在收集信号样本: 3/5
02-14 16:44:39.591 D/BleProximity: 📶 RSSI: -57
02-14 16:44:39.592 D/BleProximity: 📊 正在收集信号样本: 4/5
02-14 16:44:39.903 D/BleProximity: 📶 RSSI: -57
02-14 16:44:40.212 D/BleProximity: 📶 RSSI: -56
02-14 16:44:40.522 D/BleProximity: 📶 RSSI: -56
02-14 16:44:40.833 D/BleProximity: 📶 RSSI: -57
02-14 16:44:41.142 D/BleProximity: 📶 RSSI: -57
02-14 16:44:41.446 D/BleProximity: 📶 RSSI: -57
02-14 16:44:41.758 D/BleProximity: 📶 RSSI: -58
02-14 16:44:42.034 D/BleProximity: ⏱️ 指令超时无响应: 120秒打火
02-14 16:44:42.037 D/BleProximity: 📊 指令出队: 120秒打火 -> TIMEOUT
02-14 16:44:42.076 D/BleProximity: 📶 RSSI: -57
02-14 16:44:42.380 D/BleProximity: 📶 RSSI: -56
02-14 16:44:42.688 D/BleProximity: 📶 RSSI: -56
02-14 16:44:43.001 D/BleProximity: 📶 RSSI: -56
02-14 16:44:43.323 D/BleProximity: 📶 RSSI: -55
02-14 16:44:43.634 D/BleProximity: 📶 RSSI: -54
02-14 16:44:43.941 D/BleProximity: 📶 RSSI: -54
02-14 16:44:44.251 D/BleProximity: 📶 RSSI: -51
02-14 16:44:44.558 D/BleProximity: 📶 RSSI: -52
02-14 16:44:44.875 D/BleProximity: 📶 RSSI: -52
02-14 16:44:45.176 D/BleProximity: 📶 RSSI: -55
02-14 16:44:45.484 D/BleProximity: 📶 RSSI: -54
02-14 16:44:45.791 D/BleProximity: 📶 RSSI: -54
02-14 16:44:46.099 D/BleProximity: 📶 RSSI: -55
02-14 16:44:46.431 D/MG_NET_LOG: ┌────── 请求开始 ──────
02-14 16:44:46.432 D/MG_NET_LOG: │ URL: https://gitee.com/api/v5/repos/yangyachao-X/mg-linker/releases/latest
02-14 16:44:46.432 D/MG_NET_LOG: │ Method: GET
02-14 16:44:46.432 D/MG_NET_LOG: │ Header: Authorization: token 387f0d958834d479dcdc778fcf2ae326
02-14 16:44:46.433 D/MG_NET_LOG: │ Params: (无 Body 参数)
02-14 16:44:46.433 D/MG_NET_LOG: └──────────────────────
02-14 16:44:46.512 D/BleProximity: 📶 RSSI: -54
02-14 16:44:46.719 D/BleProximity: 📶 RSSI: -58
02-14 16:44:46.852 D/MG_NET_LOG: ┌────── 响应结束 (200 / 421ms) ──────
02-14 16:44:46.853 D/MG_NET_LOG: │ URL: https://gitee.com/api/v5/repos/yangyachao-X/mg-linker/releases/latest
